Posicion,Club,Partidos_jugados,Ganados,Empatados,Perdidos,Goles_favor,Goles_en_contra,Puntos,Diferencia_gol
16,Envigado FC,20,4.0,8,8,18.0,22,20.0,-4.0
10,Águilas Doradas,20,7.0,6,7,29.0,27,27.0,2.0
1,Independiente Medellín,20,12.0,4,4,46.0,28,40.0,18.0
9,Alianza FC,20,8.0,5,7,24.0,22,29.0,2.0
18,Deportivo Pereira,20,4.0,6,10,19.0,36,18.0,-17.0
13,Llaneros FC,20,7.0,4,9,17.0,25,25.0,-8.0
2,Deportes Tolima,20,12.0,2,6,29.0,17,38.0,12.0
14,Deportivo Cali,20,5.0,6,9,22.0,28,21.0,-6.0
6,Fortaleza CEIF,20,9.0,8,3,25.0,19,35.0,6.0
3,Atlético Nacional,20,10.0,7,3,,24,37.0,14.0
12,Millonarios FC,20,,5,8,23.0,26,26.0,-3.0
14,Deportivo Cali,20,5.0,6,9,22.0,28,21.0,-6.0
4,Atlético Bucaramanga,20,11.0,4,5,31.0,20,37.0,11.0
5,Junior de Barranquilla,20,10.0,5,5,35.0,25,35.0,10.0
19,Boyacá Chicó FC,20,3.0,7,10,14.0,29,16.0,-15.0
17,Asociación Deportivo Pasto,20,4.0,7,9,26.0,28,19.0,
12,Millonarios F.C.,20,7.0,5,8,23.0,26,26.0,-3.0
99,Junior de Barranquilla,20,10.0,5,5,35.0,25,35.0,10.0
8,CD América de Cali,20,8.0,5,7,23.0,19,,4.0
11,Once Caldas,20,7.0,6,7,21.0,24,27.0,-3.0
15,Unión Magdalena,20,6.0,3,11,22.0,32,21.0,-10.0
20,Internacional de Bogotá,20,3.0,5,12,14.0,29,14.0,-15.0
7,Independiente Santa Fe,20,8.0,7,5,21.0,17,31.0,4.0
